[Mon, 23 Apr 18 05:11:44 +0700][ERROR] [0]: Column 'no' doesn't belong to any of the selected models (1), when preparing: SELECT [Event].* FROM [Event] WHERE no = '2' LIMIT :APL0:

[Mon, 23 Apr 18 05:12:59 +0700][ERROR] [0]: Column 'no' doesn't belong to any of the selected models (1), when preparing: SELECT [Event].* FROM [Event] WHERE no = '1' LIMIT :APL0:

[Mon, 23 Apr 18 05:13:01 +0700][ERROR] [0]: Column 'no' doesn't belong to any of the selected models (1), when preparing: SELECT [Event].* FROM [Event] WHERE no = '1' LIMIT :APL0:

[Mon, 23 Apr 18 05:13:06 +0700][ERROR] [0]: Column 'no' doesn't belong to any of the selected models (1), when preparing: SELECT [Event].* FROM [Event] WHERE no = '1' LIMIT :APL0:

[Mon, 23 Apr 18 05:14:35 +0700][ERROR] [0]: Column 'no' doesn't belong to any of the selected models (1), when preparing: SELECT [Event].* FROM [Event] WHERE no = '1' LIMIT :APL0:

[Mon, 23 Apr 18 05:17:01 +0700][ERROR] [0]: Column 'no' doesn't belong to any of the selected models (1), when preparing: SELECT [Event].* FROM [Event] WHERE no = '1' LIMIT :APL0:

[Mon, 23 Apr 18 05:31:02 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [Event].* FROM [Event] WHERE id= LIMIT :APL0: (52)

[Mon, 23 Apr 18 05:31:04 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [Event].* FROM [Event] WHERE id= LIMIT :APL0: (52)

[Mon, 23 Apr 18 05:31:07 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [Event].* FROM [Event] WHERE id= LIMIT :APL0: (52)

[Mon, 23 Apr 18 05:31:08 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [Event].* FROM [Event] WHERE id= LIMIT :APL0: (52)

[Mon, 23 Apr 18 05:31:09 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [Event].* FROM [Event] WHERE id= LIMIT :APL0: (52)

[Mon, 23 Apr 18 05:31:11 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [Event].* FROM [Event] WHERE id= LIMIT :APL0: (52)

[Mon, 23 Apr 18 05:31:12 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [Event].* FROM [Event] WHERE id= LIMIT :APL0: (52)

[Mon, 23 Apr 18 05:32:54 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [Event].* FROM [Event] WHERE id= LIMIT :APL0: (52)

[Mon, 23 Apr 18 05:34:34 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [Event].* FROM [Event] WHERE id= LIMIT :APL0: (52)

